type, lat, lon, heading1, heading2, length, width, date processed, filename, date of image, time of image, image resolution, sensor, image bit-depth, security classification, control and handling, number of tips, processing algorithm, note
UNKNOWN, 5.88288, 4.83774, 170.23 , 350.23, 779.00, 666.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.53650, 5.08808, 3.56 , 183.56, 879.00, 247.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.77646, 4.89198, 0.00 , 180.00, 697.00, 607.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.97507, 4.84261, 90.00 , 270.00, 625.00, 529.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.71071, 4.48100, 98.98 , 278.98, 1396.00, 765.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
Greater than 300 GT, 5.51074, 5.00325, 0.00 , 180.00, 533.00, 533.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.52836, 4.85860, 90.00 , 270.00, 621.00, 621.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.72698, 4.82940, 99.17 , 279.17, 1331.00, 921.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
Greater than 300 GT, 5.39618, 5.12633, 0.00 , 180.00, 533.00, 533.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
Greater than 300 GT, 5.37991, 5.12424, 0.00 , 180.00, 533.00, 533.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
Greater than 300 GT, 5.33246, 5.20769, 0.00 , 180.00, 533.00, 533.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 4.55699, 4.61522, 99.08 , 279.08, 2266.00, 1219.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
